company_name,company_number,status,date_of_creation,postcode,full_address,sic_codes,company_type,next_due
PUCEK LTD,12233539,active,2019-09-30,N66JS,"1 Highgate West Hill, London, England",56102,ltd,2021-06-30
DIGITAL DIVIDE LIMITED,07887699,active,2011-12-20,N65JX,"61 Highgate High Street, London, England",59112,ltd,2020-12-31
