company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
CATALINA SPECIAL SERVICE LTD,12063283,active,2019-06-21,RM12 6NB,81210,ltd
H R M PLUMBING & HEATING SERVICES LTD,10139634,active,2016-04-21,RM12 6NJ,43220,ltd
CONCEPT SUPPLIES LIMITED,09560467,active,2015-04-24,RM11 3XT,43390,ltd
LONDON FOOD DELIVERY LTD,12707869,active,2020-06-30,RM11 2EA,"46170, 46190, 46390, 56290",ltd
ESSEX REFURBISHMENT LTD,11217318,active,2018-02-21,RM12 6LL,43390,ltd
EMELISSE CONSULTANCY LIMITED,08232199,active,2012-09-27,RM12 6LL,78109,ltd
PLUSPOINT RECRUITMENT LIMITED,10129887,active,2016-04-18,RM12 6RJ,96090,ltd
THEOBALD CONSTRUCTION LTD,11102855,active,2017-12-08,RM12 6LL,"41201, 41202",ltd
R.G.S INTERIOR SPECIALISTS LTD,12481517,active,2020-02-25,RM12 6LL,43390,ltd
TEACH RECRUITMENT LIMITED,12228803,active,2019-09-26,RM11 2NE,78200,ltd
MJL ENTERPRISE CONSULTING LIMITED,10729044,active,2017-04-19,RM14 2DT,70229,ltd
STEO PRO LIMITED,12396138,active,2020-01-10,RM13 9YS,96090,ltd
FIBRE GLASS CREATION AND DESIGNS LTD,11722603,active,2018-12-11,RM14 3TS,23140,ltd
SYNERTRADE LIMITED,06666093,active,2008-08-06,RM14 2SJ,46360,ltd
PLEEF LLP,OC416984,active,2017-04-20,RM14 2AP,N/A,llp
TAPD-IN LTD,14864964,active,2023-05-12,RM14 3JL,62090,ltd
VATA LIMITED,11569714,active,2018-09-14,RM14 2SJ,56101,ltd
MI PARCEL UK LTD,12423143,active,2020-01-24,RM15 6AH,52290,ltd
ALREGINA LTD,12126664,active,2019-07-29,RM15 5RP,"56210, 82990",ltd
BLUE ROSE XIV LIMITED,12678792,active,2020-06-18,RM15 5PX,70229,ltd
BRICKKILN DESIGN LTD,14053583,active,2022-04-19,RM15 5HP,14120,ltd
STARBROOKE CARE LTD.,09031003,active,2014-05-08,RM15 5AT,99999,ltd
EMPIRE FIRE & CONSTRUCTION MATERIALS LIMITED,14797318,active,2023-04-12,RM15 5HP,46130,ltd
PIRTRANS LTD,11137920,active,2018-01-08,RM15 5LZ,49410,ltd
LUXE EVENT HIRE LTD,10552744,active,2017-01-09,RM15 5GP,56210,ltd
IN DOORS LIMITED,05031014,active,2004-01-30,RM15 5SX,16230,ltd
AA CONSTRUCTIONS LIMITED,09564380,active,2015-04-28,RM15 5RN,41202,ltd
MARYTRANS LTD,09748811,active,2015-08-25,RM15 5BP,49410,ltd
GEORDEN LTD,09738630,active,2015-08-18,RM15 4SJ,41201,ltd
PROEDYL LTD,11324972,active,2018-04-24,RM17 6RE,43390,ltd
IVANOV & SONS LOGISTICS LTD,11948590,active,2019-04-16,RM17 5LJ,49410,ltd
SLYWARK IT SERVICES LIMITED,09605625,active,2015-05-22,RM17 6LU,62020,ltd
MESTRE DELIVERY COMPANY LIMITED,09660450,active,2015-06-29,RM16 4TD,49410,ltd
ESSEX ANGLING LTD,07363429,active,2010-09-02,RM17 5DF,61900,ltd
DOREK LTD,12312396,active,2019-11-13,RM17 6DG,"86900, 96020",ltd
LKR LOGISTICS LTD,12323131,active,2019-11-19,RM17 6RJ,"49410, 52290",ltd
CENTREWALL LTD,12034995,active,2019-06-05,RM16 6ED,"47910, 47990, 70229",ltd
HIREBRID PCO LTD,12086130,active,2019-07-04,RM17 6ST,49320,ltd
IRMAK FAST FOOD LTD,12057263,active,2019-06-18,RM17 5RZ,56102,ltd
VE CONNECT LTD,12046382,active,2019-06-12,RM17 6NQ,96020,ltd
JHONY78 LTD,12042816,active,2019-06-11,RM17 6DE,49410,ltd
