company_name,company_number,status,date_of_creation,postcode,full_address,sic_codes,company_type,next_due
AZTEC ROOFING LIMITED,10612315,active,2017-02-10,N80LT,"302 Wightman Road, Hornsey, London, United Kingdom",43910,ltd,2022-11-30
K SP LEWIS AND SON LIMITED,09488919,active,2015-03-13,N87NU,"78 High Street High Street, Hornsey, London, England",56102,ltd,2023-03-30
