company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
UNDERGR00VES LTD,14327239,active,2022-08-31,NW3 2PN,"59200, 90010, 90020, 90040",ltd,2025-05-31
KEBENA GREEN LTD,15157418,active,2023-09-22,NW1 1TU,56102,ltd,2025-06-22
JAMJAR SOFTWARE LIMITED,14344744,active,2022-09-08,E3 3YH,62012,ltd,2025-06-30
QUEENDOM ENTERTAINMENT LTD,11418249,active,2018-06-15,E14 7FZ,"90010, 90020, 90030",ltd,2025-06-30
OLUBIYI THOMAS LIMITED,10275844,active,2016-07-13,E3 3DA,"14131, 14132, 14190",ltd,2025-04-30
GREAT ACCOUNTING SERVICES LTD,13581543,active,2021-08-24,E14 6UE,69201,ltd,2025-05-31
