company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
BLACK DIAMOND LONDON LIMITED,12344447,active,2019-12-02,N120TA,81299,ltd
LUMINARY VENTURES LTD,12790920,active,2020-08-04,N120AP,"64205, 64991",ltd
